"evento_id","partido_id","marcador_id","arbitro_id","estadio_id"
1,1,1,1,1
2,2,2,2,2
3,3,3,3,3
4,4,4,4,4
5,5,5,5,5
6,6,6,6,1
7,7,7,7,2
8,8,8,8,3
9,9,9,9,4
10,10,10,10,5
11,11,11,11,1
12,12,12,12,2
13,13,13,13,3
14,14,14,14,4
15,15,15,15,5
16,16,16,16,1
17,17,17,17,2
18,18,18,1,3
19,19,19,2,4
20,20,20,3,5
21,21,21,4,1
22,22,22,5,2
23,23,23,6,3
24,24,24,7,4
25,25,25,8,5
26,26,26,9,1
27,27,27,10,2
28,28,28,11,3
29,29,29,12,4
30,30,30,13,5
31,31,31,14,1
32,32,32,15,2
33,33,33,16,3
34,34,34,17,4
35,35,35,1,5
36,36,36,2,1
37,37,37,18,6
38,38,38,19,7
39,39,39,20,8
40,40,40,21,9
41,41,41,22,10
42,42,42,23,6
43,43,43,24,7
44,44,44,25,8
45,45,45,26,9
46,46,46,27,10
47,47,47,28,6
48,48,48,29,7
49,49,49,30,8
50,50,50,31,9
51,51,51,32,10
52,52,52,33,6
53,53,53,34,7
54,54,54,35,8
55,55,55,36,9
56,56,56,18,10
57,57,57,19,6
58,58,58,20,7
59,59,59,21,8
60,60,60,22,9
61,61,61,23,10
62,62,62,24,6
63,63,63,25,7
64,64,64,26,8
65,65,65,27,9
66,66,66,28,10
67,67,67,29,6
68,68,68,30,7
69,69,69,31,8
70,70,70,32,9
71,71,71,33,10
72,72,72,34,6
73,73,73,37,11
74,74,74,38,12
75,75,75,39,13
76,76,76,40,14
77,77,77,41,15
78,78,78,42,11
79,79,79,43,12
80,80,80,44,13
81,81,81,45,14
82,82,82,46,15
83,83,83,47,11
84,84,84,48,12
85,85,85,49,13
86,86,86,50,14
87,87,87,51,15
88,88,88,52,11
89,89,89,53,12
90,90,90,54,13
91,91,91,55,14
92,92,92,37,15
93,93,93,38,11
94,94,94,39,12
95,95,95,40,13
96,96,96,41,14
97,97,97,42,15
98,98,98,43,11
99,99,99,44,12
100,100,100,45,13
101,101,101,46,14
102,102,102,47,15
103,103,103,48,11
104,104,104,49,12
105,105,105,50,13
106,106,106,51,14
107,107,107,52,15
108,108,108,53,11
109,109,109,56,16
110,110,110,57,17
111,111,111,58,18
112,112,112,59,19
113,113,113,60,20
114,114,114,61,16
115,115,115,62,17
116,116,116,63,18
117,117,117,64,19
118,118,118,65,20
119,119,119,66,16
120,120,120,67,17
121,121,121,68,18
122,122,122,69,19
123,123,123,70,20
124,124,124,71,16
125,125,125,72,17
126,126,126,73,18
127,127,127,56,19
128,128,128,57,20
129,129,129,58,16
130,130,130,59,17
131,131,131,60,18
132,132,132,61,19
133,133,133,62,20
134,134,134,63,16
135,135,135,64,17
136,136,136,65,18
137,137,137,66,19
138,138,138,67,20
139,139,139,68,16
140,140,140,69,17
141,141,141,70,18
142,142,142,71,19
143,143,143,72,20
144,144,144,73,16
