"partido_id","equipo_local_id","equipo_visitante_id","marcador_local","marcador_visitante"
1,1,2,2,4
2,3,4,6,5
3,5,6,6,2
4,2,3,1,2
5,4,5,3,1
6,6,1,0,1
7,3,5,0,0
8,1,4,0,1
9,2,6,0,3
10,4,2,5,5
11,5,1,6,4
12,6,3,2,1
13,5,3,3,5
14,6,4,6,3
15,1,2,6,4
16,3,1,4,3
17,4,6,3,2
18,2,5,1,2
19,2,5,2,2
20,4,6,0,0
21,3,1,2,2
22,1,2,3,6
23,6,4,1,4
24,5,3,0,5
25,6,3,0,6
26,5,1,2,5
27,4,2,0,3
28,2,6,1,3
29,1,4,4,1
30,3,5,3,2
31,6,1,3,3
32,4,5,1,5
33,2,3,6,2
34,5,6,3,2
35,3,4,1,5
36,1,2,2,6
37,7,8,73,76
38,9,10,82,66
39,11,12,102,61
40,8,9,109,97
41,10,11,62,80
42,12,7,92,93
43,9,11,81,84
44,7,10,73,90
45,8,12,71,97
46,10,8,96,63
47,11,7,108,77
48,12,9,94,86
49,11,9,107,96
50,12,10,89,65
51,7,8,81,81
52,9,7,90,90
53,10,12,85,61
54,8,11,77,70
55,8,11,72,99
56,10,12,97,107
57,9,7,97,87
58,7,8,95,84
59,12,10,101,70
60,11,9,92,97
61,12,9,104,85
62,11,7,85,63
63,10,8,90,106
64,8,12,83,100
65,7,10,95,68
66,9,11,68,100
67,12,7,61,96
68,10,11,91,66
69,8,9,62,75
70,11,12,101,94
71,9,10,63,81
72,7,8,80,61
73,13,2,8,12
74,15,4,0,1
75,17,6,1,13
76,14,3,3,12
77,16,5,7,1
78,18,1,7,8
79,15,5,3,6
80,13,4,0,9
81,14,6,3,14
82,16,2,1,9
83,17,1,6,10
84,18,3,2,11
85,17,3,15,13
86,18,4,14,1
87,13,2,6,13
88,15,1,3,5
89,16,6,3,3
90,14,5,6,2
91,14,5,4,14
92,16,6,0,9
93,15,1,2,12
94,13,2,4,5
95,18,4,3,6
96,17,3,6,13
97,18,3,8,4
98,17,1,3,2
99,16,2,7,14
100,14,6,13,5
101,13,4,12,7
102,15,5,15,1
103,18,1,2,9
104,16,5,4,11
105,14,3,14,4
106,17,6,5,11
107,15,4,14,4
108,13,20,6,3
109,19,20,5,2
110,21,22,5,1
111,23,24,5,1
112,20,21,5,1
113,22,23,2,5
114,24,19,5,1
115,21,23,4,5
116,19,22,5,1
117,20,24,5,1
118,22,20,5,1
119,23,19,5,3
120,24,21,5,1
121,23,21,5,4
122,24,22,5,1
123,19,20,1,5
124,19,19,2,5
125,22,24,5,3
126,20,23,2,5
127,20,23,3,5
128,22,24,4,5
129,21,19,3,5
130,19,20,3,5
131,24,22,5,1
132,23,21,5,2
133,24,21,5,2
134,23,19,1,5
135,22,20,5,2
136,20,24,5,1
137,19,22,5,2
138,21,23,2,5
139,24,19,5,1
140,22,23,5,1
141,20,21,1,5
142,23,24,1,5
143,21,22,5,2
144,19,20,5,3
